site,CLASS,lat,lon,noflowfraction_mean,n_years
6823500,Non-ref,40.03944444,-101.8666667,0.11204010076923077,39
6827500,Non-ref,40.01027778,-101.5419444,0.40844691846153847,39
6828500,Non-ref,40.14055556,-101.2297222,0.19933915415384615,39
6844500,Non-ref,40.13166667,-99.5025,0.05386418723076923,39
6846500,Ref,39.98500557,-100.560148,0.8091834061538462,39
6847500,Non-ref,40.1183333,-99.5169444,0.3894491648717949,39
6847900,Ref,39.769727,-100.1006875,0.17488064246153845,39
6848500,Non-ref,39.9787043,-99.4786584,0.4217154841025641,39
6860000,Non-ref,38.7947354,-100.8584796,0.2761148992307692,39
6861000,Non-ref,38.8077898,-100.0226243,0.10277523051282052,39
6862700,Non-ref,38.71167927,-99.3470492,0.13286059133333333,39
6862850,Non-ref,38.71223475,-99.292325,0.38437025162162164,37
6863500,Non-ref,38.852234,-99.3181589,0.07369582948717948,39
6866900,Non-ref,39.1061185,-99.8701212,0.21876047378378377,37
6871000,Non-ref,39.6730652,-99.3095409,0.26115230005128204,39
6871500,Non-ref,39.5594542,-99.2859298,0.05883990487179487,39
6873000,Non-ref,39.37667456,-99.5801096,0.13085988723076922,39
6879650,Ref,39.102075,-96.5946889,0.536670488974359,39
6910800,Ref,38.56695524,-95.961657,0.05997832533333333,39
6911900,Ref,38.7091737,-95.8383205,0.13922524635897435,39
7116500,Non-ref,38.2250024,-104.2607996,0.21117269897435897,39
7124410,Non-ref,37.14390846,-104.5477644,0.05805101797435897,39
7140850,Non-ref,38.2066829,-99.6434539,0.7442898018918919,37
7141200,Non-ref,38.2075145,-99.4062247,0.6028805951282051,39
7141780,Non-ref,38.47723614,-99.4381656,0.32609999964102565,39
7141900,Non-ref,38.46167948,-99.014817,0.41794939743589743,39
7142300,Ref,37.8716826,-98.8762067,0.12949898835897436,39
7154500,Non-ref,36.92668707,-102.9590954,0.35756739246153846,39
7155590,Non-ref,37.12196746,-101.8979456,0.8259582303030303,33
7157950,Non-ref,36.85197484,-99.315387,0.05872956603225806,31
7158000,Non-ref,36.51725644,-98.8795366,0.08875594143589743,39
7165565,Non-ref,36.01759824,-95.8608227,0.05882270838709677,31
7167500,Ref,37.70808736,-96.2236107,0.04698175282051282,39
7170700,Non-ref,37.2667325,-95.469144,0.19864505522222223,36
7172000,Non-ref,37.00393886,-96.3166638,0.05868569379487179,39
7184000,Ref,37.2811711,-95.0327428,0.08403827482051282,39
7206000,Non-ref,36.532125,-105.2281444,0.04727183887179487,39
7226500,Ref,35.43852778,-103.5257944,0.7534474171428571,35
7227100,Non-ref,35.3443861,-103.3896056,0.07790831620512821,39
7234000,Non-ref,36.82224819,-100.5193158,0.24313791717948718,39
7261500,Non-ref,34.8725,-93.6572222,0.042803013,34
7300500,Non-ref,34.85839374,-99.5087007,0.15949945892307693,39
7301500,Ref,35.16810838,-99.5073128,0.1314234396923077,39
7303000,Non-ref,34.88950479,-99.307028,0.19024730205128204,39
7311500,Non-ref,34.22092454,-98.4531104,0.11625980666666667,39
7311800,Non-ref,33.644257,-99.8009252,0.1979432917948718,39
7314500,Non-ref,33.66260225,-98.6131124,0.2124640041025641,39
7314900,Non-ref,33.8267666,-98.2400458,0.6625155487179487,39
7315200,Ref,33.81287833,-98.0850406,0.3791736203076923,39
7315700,Ref,34.00426516,-97.566968,0.11574744633333334,39
7316500,Non-ref,35.62643705,-99.6684386,0.144221303,39
7324200,Non-ref,35.65643696,-99.3062086,0.0742558427027027,37
7335700,Ref,34.63843685,-94.6127236,0.10291264153846154,39
7343000,Non-ref,33.47483009,-95.5877347,0.1075309776923077,39
7346045,Ref,32.7779173,-94.3574153,0.06359507846153846,39
7346070,Non-ref,32.71291998,-94.3460265,0.04476824307692308,39
7351500,Ref,32.3,-93.8277778,0.13366772474285715,35
8017200,Non-ref,33.1328933,-96.0769164,0.1666053028205128,39
8017300,Non-ref,32.89790085,-96.2533118,0.15795269794871794,39
8023080,Ref,31.9627225,-93.9411609,0.1653381689473684,38
8023400,Ref,31.8751667,-93.65851499,0.12572640622857142,35
8042800,Non-ref,33.29177926,-98.0805979,0.32943826743589744,39
8049700,Non-ref,32.5809695,-97.1019533,0.13107114346153845,39
8050800,Ref,33.55455428,-96.9472267,0.46356988424242423,33
8051500,Non-ref,33.3362269,-97.1794587,0.13966280953846155,39
8052700,Non-ref,33.28344977,-96.8927805,0.18865079967567566,37
8053500,Non-ref,33.11901003,-97.2905732,0.1945859371794872,39
8058900,Non-ref,33.24400417,-96.6088797,0.1570761787096774,31
8063100,Non-ref,31.9384908,-96.6813787,0.04561897455263158,38
8063800,Non-ref,32.2434807,-96.6402676,0.16487831302564102,39
8064100,Non-ref,32.1984823,-96.5202639,0.062708926,35
8064700,Non-ref,31.84849638,-96.2899755,0.15397406494736843,38
8068720,Non-ref,29.9502237,-95.8082835,0.20140269072972974,37
8068780,Ref,30.01605437,-95.6974463,0.07807736167741935,31
8071280,Non-ref,30.10966019,-95.0599294,0.04129103647058824,34
8079600,Ref,33.03843236,-101.1976302,0.5095036409230769,39
8080500,Non-ref,33.0081577,-100.1806589,0.09600850030769231,39
8082700,Ref,33.32926607,-99.4650825,0.7025964333333333,39
8083100,Non-ref,32.78760777,-100.3887183,0.26490083384615387,39
8084800,Non-ref,32.93094435,-99.642588,0.05381013979487179,39
