predictor,boruta_decision,boruta_imp_median,metric,region_rf
pet_mm_ond.previous,Confirmed,5.898352605556189,annualfractionnoflow,North Great Plains
pet_mm_jfm.previous,Confirmed,4.7089273036603565,annualfractionnoflow,North Great Plains
pet_mm_amj.previous,Confirmed,9.098526321131214,annualfractionnoflow,North Great Plains
T_max_c_cy.previous,Confirmed,5.705685860814826,annualfractionnoflow,North Great Plains
T_max_c_jas.previous,Confirmed,4.705566859309323,annualfractionnoflow,North Great Plains
T_max_c_ond.previous,Confirmed,5.73321146193226,annualfractionnoflow,North Great Plains
T_max_c_jfm.previous,Confirmed,5.101454052888117,annualfractionnoflow,North Great Plains
T_max_c_amj.previous,Confirmed,8.318658711453882,annualfractionnoflow,North Great Plains
swe_mm_cy.previous,Confirmed,4.819031742390579,annualfractionnoflow,North Great Plains
swe_mm_jas.previous,Rejected,-Inf,annualfractionnoflow,North Great Plains
swe_mm_ond.previous,Confirmed,4.2300908284592245,annualfractionnoflow,North Great Plains
swe_mm_jfm.previous,Confirmed,4.635136864889593,annualfractionnoflow,North Great Plains
swe_mm_amj.previous,Tentative,3.0256180315866095,annualfractionnoflow,North Great Plains
p.pet_cy.previous,Confirmed,9.872089137429871,annualfractionnoflow,North Great Plains
swe.p_cy.previous,Confirmed,3.6940911878169924,annualfractionnoflow,North Great Plains
p.pet_jfm.previous,Confirmed,3.919677512137614,annualfractionnoflow,North Great Plains
swe.p_jfm.previous,Confirmed,4.687517271885536,annualfractionnoflow,North Great Plains
p.pet_amj.previous,Confirmed,7.8617594274157545,annualfractionnoflow,North Great Plains
swe.p_amj.previous,Confirmed,3.5889844340921906,annualfractionnoflow,North Great Plains
p.pet_jas.previous,Confirmed,5.2102796113778975,annualfractionnoflow,North Great Plains
swe.p_jas.previous,Rejected,-Inf,annualfractionnoflow,North Great Plains
p.pet_ond.previous,Confirmed,7.649247007315418,annualfractionnoflow,North Great Plains
swe.p_ond.previous,Confirmed,3.3978104339147035,annualfractionnoflow,North Great Plains
dams_n,Confirmed,12.352327684025322,annualfractionnoflow,Mediterranean California
maxstorage_af,Confirmed,12.587382281169432,annualfractionnoflow,Mediterranean California
normstorage_af,Confirmed,11.253894893216886,annualfractionnoflow,Mediterranean California
majordams_n,Confirmed,12.577423726272109,annualfractionnoflow,Mediterranean California
wuse_mm,Confirmed,15.239147341635055,annualfractionnoflow,Mediterranean California
irrig_prc,Confirmed,13.968782264635404,annualfractionnoflow,Mediterranean California
lulc_water_prc,Confirmed,12.824812274344916,annualfractionnoflow,Mediterranean California
lulc_dev_prc,Confirmed,12.238376576537537,annualfractionnoflow,Mediterranean California
lulc_wetland_prc,Confirmed,10.713661076641367,annualfractionnoflow,Mediterranean California
lulc_forest_prc,Confirmed,12.699209469507405,annualfractionnoflow,Mediterranean California
lulc_barren_prc,Confirmed,9.809677264589169,annualfractionnoflow,Mediterranean California
lulc_grass_prc,Confirmed,16.19730311654626,annualfractionnoflow,Mediterranean California
lulc_ag_prc,Confirmed,13.05714478089854,annualfractionnoflow,Mediterranean California
drain_sqkm,Confirmed,14.009320178949476,annualfractionnoflow,Mediterranean California
elev_mean_m_basin,Confirmed,12.923526694112285,annualfractionnoflow,Mediterranean California
slope_pct,Confirmed,14.94591464709263,annualfractionnoflow,Mediterranean California
awcave,Confirmed,11.506947283137295,annualfractionnoflow,Mediterranean California
permave,Confirmed,13.690823021945798,annualfractionnoflow,Mediterranean California
topwet,Confirmed,14.820636970811126,annualfractionnoflow,Mediterranean California
depth_bedrock_m,Confirmed,17.67344322586872,annualfractionnoflow,Mediterranean California
porosity,Confirmed,12.088595194884697,annualfractionnoflow,Mediterranean California
storage_m,Confirmed,13.980987091350285,annualfractionnoflow,Mediterranean California
clayave,Confirmed,12.163979877319898,annualfractionnoflow,Mediterranean California
siltave,Confirmed,14.089577860397146,annualfractionnoflow,Mediterranean California
sandave,Confirmed,12.551676364320251,annualfractionnoflow,Mediterranean California
p_mm_cy,Confirmed,5.012805565178759,annualfractionnoflow,Mediterranean California
p_mm_jas,Confirmed,4.342264871406791,annualfractionnoflow,Mediterranean California
p_mm_ond,Confirmed,5.166699449148539,annualfractionnoflow,Mediterranean California
p_mm_jfm,Tentative,3.0120580024131414,annualfractionnoflow,Mediterranean California
p_mm_amj,Confirmed,5.643023382307963,annualfractionnoflow,Mediterranean California
pet_mm_cy,Confirmed,9.65228680719645,annualfractionnoflow,Mediterranean California
pet_mm_jas,Confirmed,7.210968111116561,annualfractionnoflow,Mediterranean California
pet_mm_ond,Confirmed,8.895323590807434,annualfractionnoflow,Mediterranean California
pet_mm_jfm,Confirmed,5.138002934531693,annualfractionnoflow,Mediterranean California
pet_mm_amj,Confirmed,6.900593371609579,annualfractionnoflow,Mediterranean California
T_max_c_cy,Confirmed,10.722549433096342,annualfractionnoflow,Mediterranean California
T_max_c_jas,Confirmed,8.267933596970144,annualfractionnoflow,Mediterranean California
T_max_c_ond,Confirmed,8.051517917946805,annualfractionnoflow,Mediterranean California
T_max_c_jfm,Confirmed,7.07457202512484,annualfractionnoflow,Mediterranean California
T_max_c_amj,Confirmed,7.3172575862652485,annualfractionnoflow,Mediterranean California
swe_mm_cy,Confirmed,5.3474054934992,annualfractionnoflow,Mediterranean California
swe_mm_jas,Rejected,-Inf,annualfractionnoflow,Mediterranean California
swe_mm_ond,Confirmed,3.8514857116315975,annualfractionnoflow,Mediterranean California
swe_mm_jfm,Confirmed,4.545350008101675,annualfractionnoflow,Mediterranean California
swe_mm_amj,Confirmed,3.4351621514579684,annualfractionnoflow,Mediterranean California
p.pet_cy,Confirmed,5.168386796397048,annualfractionnoflow,Mediterranean California
swe.p_cy,Confirmed,6.430998390224405,annualfractionnoflow,Mediterranean California
p.pet_jfm,Confirmed,3.4946943042246543,annualfractionnoflow,Mediterranean California
swe.p_jfm,Confirmed,6.210467662793337,annualfractionnoflow,Mediterranean California
p.pet_amj,Confirmed,5.837290798558778,annualfractionnoflow,Mediterranean California
swe.p_amj,Confirmed,4.203489701369021,annualfractionnoflow,Mediterranean California
p.pet_jas,Confirmed,4.65505650024695,annualfractionnoflow,Mediterranean California
swe.p_jas,Rejected,-Inf,annualfractionnoflow,Mediterranean California
p.pet_ond,Confirmed,6.204366889089481,annualfractionnoflow,Mediterranean California
swe.p_ond,Confirmed,4.5240882214307705,annualfractionnoflow,Mediterranean California
p_mm_cy.previous,Confirmed,14.433223355336024,annualfractionnoflow,Mediterranean California
p_mm_jas.previous,Confirmed,4.376677342379653,annualfractionnoflow,Mediterranean California
p_mm_ond.previous,Confirmed,8.091507537348082,annualfractionnoflow,Mediterranean California
p_mm_jfm.previous,Confirmed,9.698144214273803,annualfractionnoflow,Mediterranean California
p_mm_amj.previous,Tentative,2.6570747123327676,annualfractionnoflow,Mediterranean California
pet_mm_cy.previous,Confirmed,11.62347733895017,annualfractionnoflow,Mediterranean California
pet_mm_jas.previous,Confirmed,6.824329194659356,annualfractionnoflow,Mediterranean California
pet_mm_ond.previous,Confirmed,8.529695493832284,annualfractionnoflow,Mediterranean California
pet_mm_jfm.previous,Confirmed,11.107899576970636,annualfractionnoflow,Mediterranean California
pet_mm_amj.previous,Confirmed,5.739066443522605,annualfractionnoflow,Mediterranean California
T_max_c_cy.previous,Confirmed,10.671435498145678,annualfractionnoflow,Mediterranean California
T_max_c_jas.previous,Confirmed,7.582790457673933,annualfractionnoflow,Mediterranean California
T_max_c_ond.previous,Confirmed,8.729347561819308,annualfractionnoflow,Mediterranean California
T_max_c_jfm.previous,Confirmed,7.5259294899455895,annualfractionnoflow,Mediterranean California
T_max_c_amj.previous,Confirmed,6.515056133194532,annualfractionnoflow,Mediterranean California
swe_mm_cy.previous,Confirmed,5.820851221608039,annualfractionnoflow,Mediterranean California
swe_mm_jas.previous,Rejected,-Inf,annualfractionnoflow,Mediterranean California
swe_mm_ond.previous,Confirmed,4.388513644017475,annualfractionnoflow,Mediterranean California
swe_mm_jfm.previous,Confirmed,4.842723149758434,annualfractionnoflow,Mediterranean California
swe_mm_amj.previous,Tentative,2.714933718337811,annualfractionnoflow,Mediterranean California
p.pet_cy.previous,Confirmed,15.013129423426935,annualfractionnoflow,Mediterranean California
swe.p_cy.previous,Confirmed,6.274357648302071,annualfractionnoflow,Mediterranean California
p.pet_jfm.previous,Confirmed,10.8529210938946,annualfractionnoflow,Mediterranean California
swe.p_jfm.previous,Confirmed,5.901833091590291,annualfractionnoflow,Mediterranean California
p.pet_amj.previous,Tentative,2.736258627921817,annualfractionnoflow,Mediterranean California
swe.p_amj.previous,Confirmed,4.415004000519636,annualfractionnoflow,Mediterranean California
p.pet_jas.previous,Confirmed,4.28757503092018,annualfractionnoflow,Mediterranean California
swe.p_jas.previous,Rejected,-Inf,annualfractionnoflow,Mediterranean California
p.pet_ond.previous,Confirmed,8.926615659509222,annualfractionnoflow,Mediterranean California
swe.p_ond.previous,Confirmed,4.730430758142241,annualfractionnoflow,Mediterranean California
dams_n,Confirmed,13.583819069808271,annualfractionnoflow,South Great Plains
maxstorage_af,Confirmed,16.892773914575727,annualfractionnoflow,South Great Plains
normstorage_af,Confirmed,16.800238386659764,annualfractionnoflow,South Great Plains
majordams_n,Confirmed,14.222920344057432,annualfractionnoflow,South Great Plains
