value,yhat,predictor,metric
0.7538839792239314,0.03903177240883401,tau_p.pet_jfm,annualnoflowdays
0.8640273622405847,0.03284665264553616,tau_p.pet_jfm,annualnoflowdays
0.9741707452572381,0.03189171185719402,tau_p.pet_jfm,annualnoflowdays
1.084314128273891,0.030824801121961034,tau_p.pet_jfm,annualnoflowdays
1.1944575112905444,0.030877423643128874,tau_p.pet_jfm,annualnoflowdays
1.3046008943071978,0.030893681795949673,tau_p.pet_jfm,annualnoflowdays
1.4147442773238512,0.031865821983035995,tau_p.pet_jfm,annualnoflowdays
1.5248876603405046,0.03104968925169429,tau_p.pet_jfm,annualnoflowdays
1.635031043357158,0.031371224339749655,tau_p.pet_jfm,annualnoflowdays
1.7451744263738114,0.03163372259942543,tau_p.pet_jfm,annualnoflowdays
1.8553178093904643,0.03159302654071034,tau_p.pet_jfm,annualnoflowdays
1.9654611924071181,0.03145385714839129,tau_p.pet_jfm,annualnoflowdays
2.075604575423771,0.03133850439599272,tau_p.pet_jfm,annualnoflowdays
2.185747958440424,0.030981839791046545,tau_p.pet_jfm,annualnoflowdays
2.295891341457078,0.0311798321911171,tau_p.pet_jfm,annualnoflowdays
2.406034724473731,0.03173360581754997,tau_p.pet_jfm,annualnoflowdays
2.5161781074903846,0.031665789808376144,tau_p.pet_jfm,annualnoflowdays
2.6263214905070376,0.032218066219390704,tau_p.pet_jfm,annualnoflowdays
2.7364648735236914,0.03235662255917806,tau_p.pet_jfm,annualnoflowdays
2.8466082565403443,0.03235662255917806,tau_p.pet_jfm,annualnoflowdays
2.9567516395569973,0.032367526273191546,tau_p.pet_jfm,annualnoflowdays
3.066895022573651,0.03230793919514331,tau_p.pet_jfm,annualnoflowdays
3.177038405590304,0.03230204740731252,tau_p.pet_jfm,annualnoflowdays
3.287181788606958,0.03230204740731252,tau_p.pet_jfm,annualnoflowdays
3.397325171623611,0.03230204740731252,tau_p.pet_jfm,annualnoflowdays
-3.772767025996818,0.028620128234323604,tau_pet_mm_amj,annualnoflowdays
-3.6544573148926935,0.028620128234323604,tau_pet_mm_amj,annualnoflowdays
-3.536147603788569,0.028620128234323604,tau_pet_mm_amj,annualnoflowdays
-3.4178378926844446,0.028620128234323604,tau_pet_mm_amj,annualnoflowdays
-3.29952818158032,0.028620128234323604,tau_pet_mm_amj,annualnoflowdays
-3.1812184704761957,0.028623332802498753,tau_pet_mm_amj,annualnoflowdays
-3.062908759372071,0.028623738534844786,tau_pet_mm_amj,annualnoflowdays
-2.9445990482679467,0.02862019802662524,tau_pet_mm_amj,annualnoflowdays
-2.8262893371638222,0.028620654202969515,tau_pet_mm_amj,annualnoflowdays
-2.7079796260596973,0.0287164626233458,tau_pet_mm_amj,annualnoflowdays
-2.5896699149555733,0.02898134744429753,tau_pet_mm_amj,annualnoflowdays
-2.4713602038514484,0.028968823989290165,tau_pet_mm_amj,annualnoflowdays
-2.3530504927473244,0.029058691556239944,tau_pet_mm_amj,annualnoflowdays
-2.2347407816431994,0.02904451402730457,tau_pet_mm_amj,annualnoflowdays
-2.1164310705390754,0.029017147956001493,tau_pet_mm_amj,annualnoflowdays
-1.9981213594349507,0.030827086673138764,tau_pet_mm_amj,annualnoflowdays
-1.8798116483308263,0.031129642361766685,tau_pet_mm_amj,annualnoflowdays
-1.7615019372267016,0.03123666938583031,tau_pet_mm_amj,annualnoflowdays
-1.643192226122577,0.0314619022123706,tau_pet_mm_amj,annualnoflowdays
-1.5248825150184526,0.03236853165154445,tau_pet_mm_amj,annualnoflowdays
-1.4065728039143282,0.03909926890618926,tau_pet_mm_amj,annualnoflowdays
-1.2882630928102037,0.04339537472170558,tau_pet_mm_amj,annualnoflowdays
-1.1699533817060792,0.04954505362985733,tau_pet_mm_amj,annualnoflowdays
-1.0516436706019547,0.05062475889176276,tau_pet_mm_amj,annualnoflowdays
-0.9333339594978303,0.050764611368984,tau_pet_mm_amj,annualnoflowdays
-0.8150242483937058,0.05158573560228505,tau_pet_mm_amj,annualnoflowdays
-0.6967145372895813,0.05488255107568236,tau_pet_mm_amj,annualnoflowdays
-0.5784048261854569,0.05584287213258725,tau_pet_mm_amj,annualnoflowdays
-0.4600951150813324,0.0544090229449361,tau_pet_mm_amj,annualnoflowdays
-0.3417854039772079,0.054264181280650005,tau_pet_mm_amj,annualnoflowdays
-0.22347569287308344,0.05266404153782541,tau_pet_mm_amj,annualnoflowdays
-0.10516598176895897,0.05124830040971047,tau_pet_mm_amj,annualnoflowdays
0.0131437293351655,0.04960622617891351,tau_pet_mm_amj,annualnoflowdays
0.13145344043928997,0.05035169348512355,tau_pet_mm_amj,annualnoflowdays
0.24976315154341489,0.05072173503093604,tau_pet_mm_amj,annualnoflowdays
0.3680728626475389,0.051086019002019874,tau_pet_mm_amj,annualnoflowdays
0.4863825737516638,0.050817356905368836,tau_pet_mm_amj,annualnoflowdays
0.6046922848557879,0.04992766584525917,tau_pet_mm_amj,annualnoflowdays
0.7230019959599128,0.05133295992988964,tau_pet_mm_amj,annualnoflowdays
0.8413117070640368,0.05081327774035994,tau_pet_mm_amj,annualnoflowdays
0.9596214181681617,0.05045892668921758,tau_pet_mm_amj,annualnoflowdays
1.0779311292722857,0.048851366432062664,tau_pet_mm_amj,annualnoflowdays
1.1962408403764107,0.04881150763584382,tau_pet_mm_amj,annualnoflowdays
1.3145505514805347,0.0504431291428977,tau_pet_mm_amj,annualnoflowdays
