mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
2,1450,6,rsq,standard,0.27236728730618115,5,0.042907070740857194,Model079,annualnoflowdays
2,1650,6,mae,standard,0.15036476462689594,5,0.009768538179416208,Model080,annualnoflowdays
2,1650,6,rmse,standard,0.1975402577536425,5,0.014128281889333199,Model080,annualnoflowdays
2,1650,6,rsq,standard,0.275242873781142,5,0.041194306730550315,Model080,annualnoflowdays
3,250,6,mae,standard,0.1506057892075217,5,0.00981876686300331,Model081,annualnoflowdays
3,250,6,rmse,standard,0.19822138677288278,5,0.014023353285473841,Model081,annualnoflowdays
3,250,6,rsq,standard,0.270144679257188,5,0.040605299836809,Model081,annualnoflowdays
3,450,6,mae,standard,0.151346097866217,5,0.009404861465533437,Model082,annualnoflowdays
3,450,6,rmse,standard,0.19835640270873509,5,0.014005745218838683,Model082,annualnoflowdays
3,450,6,rsq,standard,0.27050835239465454,5,0.04030101311254182,Model082,annualnoflowdays
3,650,6,mae,standard,0.15092801684625604,5,0.009227513956316236,Model083,annualnoflowdays
3,650,6,rmse,standard,0.1985679084332761,5,0.0136529059914777,Model083,annualnoflowdays
3,650,6,rsq,standard,0.2679414981878028,5,0.03809561403857439,Model083,annualnoflowdays
3,850,6,mae,standard,0.15069105902550264,5,0.009671781461381925,Model084,annualnoflowdays
3,850,6,rmse,standard,0.1980016181595267,5,0.013998704359342005,Model084,annualnoflowdays
3,850,6,rsq,standard,0.2721273156692031,5,0.040614493999887764,Model084,annualnoflowdays
3,1050,6,mae,standard,0.15117108011338848,5,0.009459719653510201,Model085,annualnoflowdays
3,1050,6,rmse,standard,0.1978433157528636,5,0.01385940249358548,Model085,annualnoflowdays
3,1050,6,rsq,standard,0.27324666192210173,5,0.039402065617324115,Model085,annualnoflowdays
3,1250,6,mae,standard,0.15107494391747733,5,0.009647924026525737,Model086,annualnoflowdays
3,1250,6,rmse,standard,0.19802684337851498,5,0.014133065157478142,Model086,annualnoflowdays
3,1250,6,rsq,standard,0.2728718120312829,5,0.04133312252368929,Model086,annualnoflowdays
3,1450,6,mae,standard,0.15044790061057112,5,0.009352492146373913,Model087,annualnoflowdays
3,1450,6,rmse,standard,0.19758918592418534,5,0.01390253863963368,Model087,annualnoflowdays
3,1450,6,rsq,standard,0.27522333942566757,5,0.04037081281235153,Model087,annualnoflowdays
3,1650,6,mae,standard,0.15086881687501513,5,0.00964972486439453,Model088,annualnoflowdays
3,1650,6,rmse,standard,0.19790241353940924,5,0.01410775075190846,Model088,annualnoflowdays
3,1650,6,rsq,standard,0.27310358973280746,5,0.04116887630037293,Model088,annualnoflowdays
4,250,6,mae,standard,0.15175258347909618,5,0.009716842155903228,Model089,annualnoflowdays
4,250,6,rmse,standard,0.19856598309459442,5,0.01425769634008352,Model089,annualnoflowdays
4,250,6,rsq,standard,0.27025238940511975,5,0.04258688331728371,Model089,annualnoflowdays
