predictor,IncMSE,metric,region,iteration
p.pet_amj,0.008086844597164657,annualfractionnoflow,National,5
swe.p_amj,9.473995035579533e-6,annualfractionnoflow,National,5
p.pet_jas,0.006989695060740944,annualfractionnoflow,National,5
swe.p_jas,0,annualfractionnoflow,National,5
p.pet_ond,0.0011535071909677943,annualfractionnoflow,National,5
swe.p_ond,3.824238708406748e-4,annualfractionnoflow,National,5
DRAIN_SQKM,0.006959339104900954,annualfractionnoflow,National,5
ELEV_MEAN_M_BASIN,0.012684695140348284,annualfractionnoflow,National,5
SLOPE_PCT,0.007308703342644703,annualfractionnoflow,National,5
AWCAVE,0.005337192758270193,annualfractionnoflow,National,5
PERMAVE,0.004135374278237461,annualfractionnoflow,National,5
TOPWET,0.0061611403795361385,annualfractionnoflow,National,5
depth_bedrock_m,0.0039727400220613855,annualfractionnoflow,National,5
CLAYAVE,0.013538242366046123,annualfractionnoflow,National,5
SILTAVE,0.00453200952413186,annualfractionnoflow,National,5
SANDAVE,0.0028997637946048573,annualfractionnoflow,National,5
p_mm_cy,0.01383696496023483,annualfractionnoflow,National,6
p_mm_jas,0.0038305406462699255,annualfractionnoflow,National,6
p_mm_ond,0.0011324638439652013,annualfractionnoflow,National,6
p_mm_jfm,0.0013481568963066505,annualfractionnoflow,National,6
p_mm_amj,0.003478214574624712,annualfractionnoflow,National,6
pet_mm_cy,0.0030306568686791313,annualfractionnoflow,National,6
pet_mm_jas,0.004679384328103011,annualfractionnoflow,National,6
pet_mm_ond,0.0011039124305795513,annualfractionnoflow,National,6
pet_mm_jfm,0.0012757221729924042,annualfractionnoflow,National,6
pet_mm_amj,0.007488547801726634,annualfractionnoflow,National,6
T_max_c_cy,0.0016174850859121286,annualfractionnoflow,National,6
T_max_c_jas,0.002217674383600458,annualfractionnoflow,National,6
T_max_c_ond,9.867011052949806e-4,annualfractionnoflow,National,6
T_max_c_jfm,0.0015010177580929754,annualfractionnoflow,National,6
T_max_c_amj,0.0015859881644304495,annualfractionnoflow,National,6
T_min_c_cy,0.0020251079753577724,annualfractionnoflow,National,6
T_min_c_jas,0.00198027295794997,annualfractionnoflow,National,6
T_min_c_ond,0.0016971942500725126,annualfractionnoflow,National,6
T_min_c_jfm,0.0018540498186649219,annualfractionnoflow,National,6
T_min_c_amj,0.0012806245127624802,annualfractionnoflow,National,6
pcumdist10days,0.001019120657168226,annualfractionnoflow,National,6
pcumdist50days,0.0019985746785657647,annualfractionnoflow,National,6
pcumdist90days,8.336284865390564e-4,annualfractionnoflow,National,6
swe_mm_cy,6.335797258269647e-4,annualfractionnoflow,National,6
swe_mm_jas,0,annualfractionnoflow,National,6
swe_mm_ond,2.5802007159447826e-4,annualfractionnoflow,National,6
swe_mm_jfm,5.380681475101219e-4,annualfractionnoflow,National,6
swe_mm_amj,3.6496890317494214e-6,annualfractionnoflow,National,6
srad_wm2_cy,0.01660586142791008,annualfractionnoflow,National,6
srad_wm2_jas,0.0023698248334288294,annualfractionnoflow,National,6
srad_wm2_ond,0.001352383115208415,annualfractionnoflow,National,6
srad_wm2_jfm,0.002141004079549709,annualfractionnoflow,National,6
srad_wm2_amj,0.012247414246498847,annualfractionnoflow,National,6
pdsi_cy,8.398119393478934e-4,annualfractionnoflow,National,6
