currentclimyear,noflowdays,totaldays,annualfractionnoflow,zeroflowfirst,gage_ID
2013,0,365,0,NA,1395000
2014,0,365,0,NA,1395000
2015,0,366,0,NA,1395000
2016,0,365,0,NA,1395000
2017,0,365,0,NA,1395000
1980,0,365,0,NA,1398000
1981,0,365,0,NA,1398000
1982,0,365,0,NA,1398000
1983,0,366,0,NA,1398000
1984,0,365,0,NA,1398000
1985,0,365,0,NA,1398000
1986,0,365,0,NA,1398000
1987,0,366,0,NA,1398000
1988,0,365,0,NA,1398000
1989,0,365,0,NA,1398000
1990,0,365,0,NA,1398000
1991,0,366,0,NA,1398000
1992,0,365,0,NA,1398000
1993,0,365,0,NA,1398000
1994,0,365,0,NA,1398000
1995,28,366,0.07650273224043716,142,1398000
1996,0,365,0,NA,1398000
1997,0,365,0,NA,1398000
1998,0,365,0,NA,1398000
1999,37,366,0.10109289617486339,98,1398000
2000,0,365,0,NA,1398000
2001,0,365,0,NA,1398000
2002,12,365,0.03287671232876712,131,1398000
2003,0,366,0,NA,1398000
2004,0,365,0,NA,1398000
2005,0,365,0,NA,1398000
2006,0,365,0,NA,1398000
2007,0,366,0,NA,1398000
2008,2,365,0.005479452054794521,151,1398000
2009,0,365,0,NA,1398000
2010,15,365,0.0410958904109589,133,1398000
2011,0,366,0,NA,1398000
2012,0,365,0,NA,1398000
2013,0,365,0,NA,1398000
2014,0,365,0,NA,1398000
2015,0,366,0,NA,1398000
2016,0,365,0,NA,1398000
2017,0,365,0,NA,1398000
1980,29,274,0.10583941605839416,142,1401650
1981,0,365,0,NA,1401650
1982,0,365,0,NA,1401650
1983,1,366,0.00273224043715847,150,1401650
1984,0,365,0,NA,1401650
1985,0,365,0,NA,1401650
1986,0,365,0,NA,1401650
1987,0,366,0,NA,1401650
1988,0,365,0,NA,1401650
1989,0,365,0,NA,1401650
1990,0,365,0,NA,1401650
1991,0,366,0,NA,1401650
1992,0,365,0,NA,1401650
1993,0,365,0,NA,1401650
1994,1,365,0.0027397260273972603,168,1401650
1995,29,366,0.07923497267759563,144,1401650
1996,0,365,0,NA,1401650
1997,15,365,0.0410958904109589,106,1401650
1998,111,365,0.3041095890410959,110,1401650
1999,53,366,0.1448087431693989,85,1401650
2000,0,365,0,NA,1401650
2001,20,365,0.0547945205479452,125,1401650
2002,11,365,0.030136986301369864,131,1401650
2003,0,366,0,NA,1401650
2004,0,365,0,NA,1401650
2005,42,365,0.11506849315068493,145,1401650
2006,0,365,0,NA,1401650
2007,0,366,0,NA,1401650
2008,0,365,0,NA,1401650
2009,0,365,0,NA,1401650
2010,23,365,0.06301369863013699,123,1401650
2011,0,366,0,NA,1401650
2012,0,365,0,NA,1401650
2013,0,365,0,NA,1401650
